evaluator,qid,question,ga,rid,response,accuracy,relevance,quality
Mansi,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,1,This month I aim to improve how I manage my day by creating a detailed plan every Sunday.,3,2,4
Mansi,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,4,"I hope to stick to a weekly planner so I can manage classes, gym, and study hours effectively.",1,1,1
Mansi,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,2,My goal is to stop procrastinating by setting daily priorities and using Pomodoro timers.,5,5,5
Mansi,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,3,I want to start a habit of planning the night before so my mornings are more structured.,5,5,5
Mansi,2,"What challenges have you faced recently, and how did you handle them?","Balancing coursework and a part-time job has been tough, but I’ve started using a planner and asking for flexible shifts when needed.",6,Handling a group project with conflicting schedules was hard—I solved it by setting shared deadlines.,2,4,1
Mansi,2,"What challenges have you faced recently, and how did you handle them?","Balancing coursework and a part-time job has been tough, but I’ve started using a planner and asking for flexible shifts when needed.",7,"Being sick last week set me back, but I emailed my professors and caught up through recordings.",3,3,3
Mansi,2,"What challenges have you faced recently, and how did you handle them?","Balancing coursework and a part-time job has been tough, but I’ve started using a planner and asking for flexible shifts when needed.",8,"I was overwhelmed with exams and family duties, but asking for help and scheduling breaks helped.",3,2,3
Mansi,2,"What challenges have you faced recently, and how did you handle them?","Balancing coursework and a part-time job has been tough, but I’ve started using a planner and asking for flexible shifts when needed.",5,"Juggling my internship and assignments was tough, so I created a Google Calendar with reminders.",2,3,1
Mansi,3,Describe a moment when you felt proud of your work.,I felt proud when I led a group project on climate change awareness and we received positive feedback from our professor and peers.,9,"When I presented my research on renewable energy and got praise from my professor, I felt proud.",3,4,2
Mansi,3,Describe a moment when you felt proud of your work.,I felt proud when I led a group project on climate change awareness and we received positive feedback from our professor and peers.,12,I designed a flyer campaign for mental health week and it received great student feedback.,4,2,2
Mansi,3,Describe a moment when you felt proud of your work.,I felt proud when I led a group project on climate change awareness and we received positive feedback from our professor and peers.,10,I felt accomplished after organizing a fundraiser that surpassed its goal by 40%.,3,2,5
Mansi,3,Describe a moment when you felt proud of your work.,I felt proud when I led a group project on climate change awareness and we received positive feedback from our professor and peers.,11,My blog post on climate anxiety was shared by a major page and brought awareness—felt meaningful!,2,1,3
Mansi,4,What’s one new skill or concept you've recently learned?,"I recently learned how to use Tableau for data visualization, and it's helping me understand and present data more effectively.",14,I picked up Python basics on Codecademy and used it to automate a repetitive Excel task.,1,1,1
Mansi,4,What’s one new skill or concept you've recently learned?,"I recently learned how to use Tableau for data visualization, and it's helping me understand and present data more effectively.",13,I just learned how to create dashboards in Tableau—it makes analyzing survey data a lot easier.,1,1,3
Mansi,4,What’s one new skill or concept you've recently learned?,"I recently learned how to use Tableau for data visualization, and it's helping me understand and present data more effectively.",16,I learned about SQL joins last week and applied it in our database project—it was eye-opening!,1,2,1
Mansi,4,What’s one new skill or concept you've recently learned?,"I recently learned how to use Tableau for data visualization, and it's helping me understand and present data more effectively.",15,I recently learned how to build a basic website using HTML and CSS and deployed it on GitHub.,1,2,1
Mansi,5,How do you stay motivated during difficult times?,"I remind myself of my long-term goals and try to break down tasks into smaller, manageable steps so I don’t get overwhelmed.",19,Talking to my mentor helps me regain clarity and stay grounded when I lose motivation.,3,3,3
Mansi,5,How do you stay motivated during difficult times?,"I remind myself of my long-term goals and try to break down tasks into smaller, manageable steps so I don’t get overwhelmed.",20,I break down my goals into smaller wins and celebrate progress—it helps me stay on track.,3,5,3
